Speaker,Unique Words,Total Words,Total Debates Present,Times Spoken,Average Times Spoken per Debate,Average Words Per Time Spoken
TRUMP,2451,17397,11,765,69.54545454545455,22.741176470588236
CRUZ,3197,15657,12,367,30.583333333333332,42.66212534059945
RUBIO,3029,16576,12,406,33.833333333333336,40.827586206896555
KASICH,2364,11970,12,220,18.333333333333332,54.40909090909091
CARSON,2016,6543,10,136,13.6,48.11029411764706
BUSH,2218,8870,9,277,30.77777777777778,32.021660649819495
WALKER,632,1483,2,40,20.0,37.075
HUCKABEE,881,1985,3,50,16.666666666666668,39.7
PAUL,1439,4691,6,130,21.666666666666668,36.08461538461538
CHRISTIE,1715,6695,7,117,16.714285714285715,57.22222222222222
FIORINA,1317,3761,5,113,22.6,33.283185840707965
